Marca de Tiempo, Uso de Memoria (%)
10:56:15,65.8
10:56:16,65.8
10:56:17,65.9
10:56:18,65.9
10:56:19,65.9
10:56:20,65.8
10:56:21,65.8
10:56:22,65.8
10:56:23,65.8
10:56:24,65.8
10:56:25,65.8
10:56:26,65.8
10:56:27,65.8
10:56:28,65.1
10:56:29,64.9
10:56:30,64.8
10:56:31,64.8
10:56:32,64.8
10:56:33,64.8
10:56:34,64.8
10:56:35,64.7
10:56:36,64.6
10:56:37,64.6
10:56:38,64.6
10:56:39,64.7
10:56:40,64.7
10:56:41,64.7
10:56:42,64.7
10:56:43,64.7
10:56:44,64.7
10:56:45,64.6
10:56:46,64.7
10:56:47,64.6
10:56:48,64.7
10:56:49,64.7
10:56:50,64.6
10:56:51,64.6
10:56:52,64.7
10:56:53,64.6
10:56:54,64.7
10:56:55,64.6
10:56:56,64.6
10:56:57,64.6
10:56:58,64.6
10:56:59,64.6
10:57:00,64.6
10:57:01,64.6
10:57:02,64.6
10:57:03,64.6
10:57:04,64.6
10:57:05,64.6
10:57:06,64.6
10:57:07,64.6
10:57:08,64.6
10:57:09,64.8
10:57:10,64.8
10:57:11,64.8
10:57:12,64.8
10:57:13,64.8
10:57:14,64.7
10:57:15,64.7
10:57:16,64.8
10:57:17,64.8
10:57:18,64.8
10:57:19,64.7
10:57:20,64.7
10:57:21,64.7
10:57:22,64.7
10:57:23,64.7
10:57:24,64.7
10:57:25,64.7
10:57:26,64.7
10:57:27,64.7
10:57:28,64.6
10:57:29,64.6
10:57:30,64.6
10:57:31,64.6
10:57:32,64.6
10:57:33,64.6
10:57:34,64.6
10:57:35,64.6
10:57:36,64.6
10:57:37,64.6
10:57:38,64.6
10:57:39,64.6
10:57:40,64.6
10:57:41,64.6
10:57:42,64.6
10:57:43,64.6
10:57:44,64.6
10:57:45,64.6
10:57:46,64.6
10:57:48,64.6
10:57:49,64.6
10:57:50,64.6
10:57:51,64.6
10:57:52,64.6
10:57:53,64.6
